# ----------------------------------------
# Todos los datos de sitios web
# Ubicación
# 20200101-20230726
# ----------------------------------------

País,Usuarios,Usuarios nuevos,Sesiones,Porcentaje de rebote,Páginas/sesión,Duración media de la sesión,Tasa de conversión del objetivo,Objetivos cumplidos,Valor del objetivo
Luxembourg,104,104,153,"83,01 %","1,80",00:00:54,"0,00 %",0,"0,00 US$"
Trinidad & Tobago,95,95,145,"86,90 %","2,28",00:02:05,"0,00 %",0,"0,00 US$"
Lithuania,87,86,101,"76,24 %","1,53",00:01:39,"0,00 %",0,"0,00 US$"
Bosnia & Herzegovina,83,82,120,"78,33 %","1,60",00:01:30,"0,00 %",0,"0,00 US$"
Armenia,80,80,107,"72,90 %","1,46",00:00:32,"0,00 %",0,"0,00 US$"
Puerto Rico,79,76,110,"75,45 %","2,02",00:02:30,"0,00 %",0,"0,00 US$"
Kuwait,77,77,100,"80,00 %","1,53",00:00:31,"0,00 %",0,"0,00 US$"
Cambodia,69,70,95,"71,58 %","2,19",00:01:56,"0,00 %",0,"0,00 US$"
Tunisia,66,65,90,"76,67 %","1,39",00:00:49,"0,00 %",0,"0,00 US$"
Mauritius,65,65,97,"74,23 %","2,93",00:02:24,"0,00 %",0,"0,00 US$"
Bahrain,63,63,75,"90,67 %","1,17",00:00:05,"0,00 %",0,"0,00 US$"
Estonia,63,62,113,"68,14 %","2,25",00:02:16,"0,00 %",0,"0,00 US$"
Jamaica,62,62,90,"80,00 %","2,09",00:01:31,"0,00 %",0,"0,00 US$"
Belarus,61,62,75,"65,33 %","2,32",00:01:05,"0,00 %",0,"0,00 US$"
Cameroon,61,63,83,"73,49 %","1,54",00:01:40,"0,00 %",0,"0,00 US$"
Sudan,60,61,103,"71,84 %","1,82",00:01:32,"0,00 %",0,"0,00 US$"
Georgia,58,57,94,"84,04 %","1,31",00:01:32,"0,00 %",0,"0,00 US$"
Iceland,58,58,68,"77,94 %","1,51",00:00:23,"0,00 %",0,"0,00 US$"
Qatar,58,57,76,"80,26 %","1,96",00:00:34,"0,00 %",0,"0,00 US$"
Syria,57,59,114,"61,40 %","2,73",00:04:07,"0,00 %",0,"0,00 US$"
Namibia,55,56,80,"75,00 %","2,66",00:04:29,"0,00 %",0,"0,00 US$"
Albania,54,53,60,"80,00 %","1,30",00:00:43,"0,00 %",0,"0,00 US$"
Nicaragua,54,55,75,"56,00 %","2,16",00:03:00,"0,00 %",0,"0,00 US$"
Botswana,51,51,73,"72,60 %","2,71",00:02:31,"0,00 %",0,"0,00 US$"
Brunei,49,49,68,"79,41 %","1,81",00:01:17,"0,00 %",0,"0,00 US$"
Kosovo,48,48,55,"78,18 %","1,29",00:00:20,"0,00 %",0,"0,00 US$"
Uzbekistan,47,48,66,"62,12 %","1,64",00:01:18,"0,00 %",0,"0,00 US$"
Palestine,46,46,51,"74,51 %","1,47",00:01:49,"0,00 %",0,"0,00 US$"
Latvia,42,42,52,"75,00 %","1,69",00:01:44,"0,00 %",0,"0,00 US$"
North Macedonia,41,41,47,"78,72 %","1,81",00:00:36,"0,00 %",0,"0,00 US$"
Malawi,40,40,53,"69,81 %","2,43",00:03:01,"0,00 %",0,"0,00 US$"
Myanmar (Burma),39,44,54,"66,67 %","1,57",00:01:17,"0,00 %",0,"0,00 US$"
Macao,39,39,43,"86,05 %","1,23",00:00:28,"0,00 %",0,"0,00 US$"
Moldova,38,39,51,"72,55 %","1,94",00:01:51,"0,00 %",0,"0,00 US$"
Mongolia,38,38,49,"91,84 %","2,33",00:00:43,"0,00 %",0,"0,00 US$"
Libya,37,37,51,"68,63 %","2,27",00:02:53,"0,00 %",0,"0,00 US$"
Fiji,35,35,41,"75,61 %","1,27",00:02:12,"0,00 %",0,"0,00 US$"
Rwanda,32,32,41,"65,85 %","1,63",00:03:41,"0,00 %",0,"0,00 US$"
Bhutan,25,25,28,"78,57 %","1,57",00:00:35,"0,00 %",0,"0,00 US$"
Montenegro,25,23,30,"73,33 %","1,67",00:02:44,"0,00 %",0,"0,00 US$"
Somalia,25,25,26,"84,62 %","1,15",00:00:35,"0,00 %",0,"0,00 US$"
Kyrgyzstan,23,23,26,"57,69 %","1,77",00:01:50,"0,00 %",0,"0,00 US$"
Malta,23,24,25,"80,00 %","1,72",00:01:09,"0,00 %",0,"0,00 US$"
Eswatini,21,21,25,"76,00 %","1,40",00:02:39,"0,00 %",0,"0,00 US$"
Afghanistan,20,20,23,"65,22 %","3,52",00:01:41,"0,00 %",0,"0,00 US$"
Mozambique,20,21,22,"63,64 %","1,50",00:01:29,"0,00 %",0,"0,00 US$"
South Sudan,20,20,24,"70,83 %","1,33",00:01:32,"0,00 %",0,"0,00 US$"
Guyana,18,18,21,"80,95 %","1,29",00:03:03,"0,00 %",0,"0,00 US$"
Yemen,17,20,28,"60,71 %","1,39",00:00:09,"0,00 %",0,"0,00 US$"
Barbados,15,15,16,"87,50 %","2,62",00:00:35,"0,00 %",0,"0,00 US$"
Lesotho,15,15,17,"94,12 %","1,06",00:00:01,"0,00 %",0,"0,00 US$"
Senegal,13,13,15,"86,67 %","2,60",00:00:46,"0,00 %",0,"0,00 US$"
Angola,12,12,12,"66,67 %","2,08",00:01:19,"0,00 %",0,"0,00 US$"
Côte d’Ivoire,11,12,13,"38,46 %","2,00",00:00:39,"0,00 %",0,"0,00 US$"
Papua New Guinea,10,9,10,"80,00 %","2,10",00:00:10,"0,00 %",0,"0,00 US$"
Andorra,9,9,13,"46,15 %","2,31",00:03:48,"0,00 %",0,"0,00 US$"
Congo - Kinshasa,9,9,10,"60,00 %","1,40",00:00:40,"0,00 %",0,"0,00 US$"
Cape Verde,9,9,10,"70,00 %","1,50",00:01:05,"0,00 %",0,"0,00 US$"
St. Lucia,8,7,10,"50,00 %","2,70",00:01:31,"0,00 %",0,"0,00 US$"
Madagascar,8,8,9,"55,56 %","1,44",00:00:32,"0,00 %",0,"0,00 US$"
Maldives,8,8,9,"88,89 %","1,89",00:00:11,"0,00 %",0,"0,00 US$"
Belize,7,7,9,"88,89 %","1,11",00:00:36,"0,00 %",0,"0,00 US$"
Guernsey,7,7,21,"14,29 %","5,43",00:06:50,"0,00 %",0,"0,00 US$"
Burkina Faso,6,6,7,"57,14 %","1,43",00:00:02,"0,00 %",0,"0,00 US$"
Bahamas,6,6,10,"80,00 %","1,50",00:02:47,"0,00 %",0,"0,00 US$"
Jersey,6,6,9,"77,78 %","1,89",00:01:20,"0,00 %",0,"0,00 US$"
Vanuatu,6,6,8,"50,00 %","2,12",00:08:29,"0,00 %",0,"0,00 US$"
Antigua & Barbuda,5,5,5,"80,00 %","1,40",00:00:14,"0,00 %",0,"0,00 US$"
Equatorial Guinea,5,5,7,"71,43 %","2,43",00:05:28,"0,00 %",0,"0,00 US$"
Cayman Islands,5,5,9,"88,89 %","1,56",00:00:16,"0,00 %",0,"0,00 US$"
Laos,5,5,5,"60,00 %","1,40",00:00:33,"0,00 %",0,"0,00 US$"
Liberia,5,5,5,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Turkmenistan,5,5,6,"33,33 %","2,33",00:01:45,"0,00 %",0,"0,00 US$"
U.S. Virgin Islands,5,5,22,"95,45 %","1,05",00:00:29,"0,00 %",0,"0,00 US$"
Curaçao,4,4,7,"42,86 %","2,86",00:13:33,"0,00 %",0,"0,00 US$"
Gambia,4,4,4,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Haiti,4,4,4,"25,00 %","2,25",00:05:31,"0,00 %",0,"0,00 US$"
Monaco,4,4,4,"75,00 %","2,00",00:01:34,"0,00 %",0,"0,00 US$"
New Caledonia,4,4,4,"50,00 %","6,25",00:02:26,"0,00 %",0,"0,00 US$"
Seychelles,4,4,4,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
St. Vincent & Grenadines,4,4,4,"25,00 %","5,00",00:03:36,"0,00 %",0,"0,00 US$"
Grenada,3,3,3,"33,33 %","2,00",00:02:26,"0,00 %",0,"0,00 US$"
Guadeloupe,3,3,3,"66,67 %","3,00",00:00:25,"0,00 %",0,"0,00 US$"
Guam,3,3,4,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Niger,3,4,4,"25,00 %","1,75",00:00:25,"0,00 %",0,"0,00 US$"
Benin,2,2,2,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Bermuda,2,2,2,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Sierra Leone,2,2,2,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Togo,2,2,2,"50,00 %","1,50",00:01:04,"0,00 %",0,"0,00 US$"
British Virgin Islands,2,2,3,"33,33 %","6,33",00:14:12,"0,00 %",0,"0,00 US$"
American Samoa,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Aruba,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Burundi,1,1,2,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Western Sahara,1,1,1,"0,00 %","3,00",00:03:43,"0,00 %",0,"0,00 US$"
Gabon,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Gibraltar,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Guinea,1,2,2,"0,00 %","2,00",00:01:04,"0,00 %",0,"0,00 US$"
Isle of Man,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
St. Kitts & Nevis,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Mauritania,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Réunion,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Suriname,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Tonga,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
Samoa,1,1,1,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 US$"
,196.861,197.461,268.805,"74,71 %","1,87",00:01:40,"0,00 %",0,"0,00 US$"
